image_path,ticker,date,label,label_id,RSI,MACD,MACD_signal,forward_return,trend_score,split
D:\full-stack2\data\charts\AAPL\2022-02-01.png,AAPL,2022-02-01,Neutral,1,44.24,0.0,0.0,-0.0092,-0.1367,train
D:\full-stack2\data\charts\GOOGL\2022-02-01.png,GOOGL,2022-02-01,Neutral,1,47.91,0.0,0.0,-0.0075,-0.1237,train
D:\full-stack2\data\charts\MSFT\2022-02-01.png,MSFT,2022-02-01,Neutral,1,33.94,0.0,0.0,-0.0268,-0.4339,train
D:\full-stack2\data\charts\TSLA\2022-02-01.png,TSLA,2022-02-01,Neutral,1,27.02,0.0,0.0,-0.0095,-0.0643,train
D:\full-stack2\data\charts\AMZN\2022-02-01.png,AMZN,2022-02-01,Neutral,1,33.55,0.0,0.0,0.0352,0.4791,train
D:\full-stack2\data\charts\NVDA\2022-02-01.png,NVDA,2022-02-01,Up,2,31.23,0.0,0.0,0.0754,0.6936,train
D:\full-stack2\data\charts\META\2022-02-01.png,META,2022-02-01,Down,0,45.22,0.0,0.0,-0.3072,-4.1277,train
D:\full-stack2\data\charts\NFLX\2022-02-01.png,NFLX,2022-02-01,Down,0,39.36,0.0,0.0,-0.1087,-0.5393,train
D:\full-stack2\data\charts\AAPL\2022-02-02.png,AAPL,2022-02-02,Neutral,1,46.29,0.0,0.0,-0.0175,-0.2613,train
D:\full-stack2\data\charts\GOOGL\2022-02-02.png,GOOGL,2022-02-02,Down,0,64.09,0.0,0.0,-0.0693,-0.8466,train
D:\full-stack2\data\charts\MSFT\2022-02-02.png,MSFT,2022-02-02,Down,0,38.53,0.0,0.0,-0.0426,-0.6816,train
D:\full-stack2\data\charts\TSLA\2022-02-02.png,TSLA,2022-02-02,Neutral,1,25.74,0.0,0.0,0.0196,0.1339,train
D:\full-stack2\data\charts\AMZN\2022-02-02.png,AMZN,2022-02-02,Up,2,33.06,0.0,0.0,0.0497,0.6817,train
D:\full-stack2\data\charts\NVDA\2022-02-02.png,NVDA,2022-02-02,Neutral,1,35.13,0.0,0.0,0.0503,0.4557,train
D:\full-stack2\data\charts\META\2022-02-02.png,META,2022-02-02,Down,0,48.21,0.0,0.0,-0.3296,-4.386,train
D:\full-stack2\data\charts\NFLX\2022-02-02.png,NFLX,2022-02-02,Neutral,1,35.12,0.0,0.0,-0.0731,-0.3576,train
D:\full-stack2\data\charts\AAPL\2022-02-03.png,AAPL,2022-02-03,Neutral,1,42.29,0.0,0.0,-0.022,-0.3377,train
D:\full-stack2\data\charts\GOOGL\2022-02-03.png,GOOGL,2022-02-03,Down,0,55.32,0.0,0.0,-0.0737,-0.9399,train
D:\full-stack2\data\charts\MSFT\2022-02-03.png,MSFT,2022-02-03,Down,0,32.25,0.0,0.0,-0.0329,-0.5258,train
D:\full-stack2\data\charts\TSLA\2022-02-03.png,TSLA,2022-02-03,Neutral,1,25.02,0.0,0.0,-0.0166,-0.1162,train
D:\full-stack2\data\charts\AMZN\2022-02-03.png,AMZN,2022-02-03,Up,2,25.08,0.0,0.0,0.1138,1.2779,train
D:\full-stack2\data\charts\NVDA\2022-02-03.png,NVDA,2022-02-03,Neutral,1,31.07,0.0,0.0,0.0233,0.2144,train
D:\full-stack2\data\charts\META\2022-02-03.png,META,2022-02-03,Down,0,21.43,0.0,0.0,-0.1264,-0.6335,train
D:\full-stack2\data\charts\NFLX\2022-02-03.png,NFLX,2022-02-03,Neutral,1,31.93,0.0,0.0,-0.0467,-0.2268,train
D:\full-stack2\data\charts\AAPL\2022-02-04.png,AAPL,2022-02-04,Neutral,1,41.9,0.0,0.0,-0.0295,-0.4611,train
D:\full-stack2\data\charts\GOOGL\2022-02-04.png,GOOGL,2022-02-04,Down,0,55.59,0.0,0.0,-0.09,-1.1469,train
D:\full-stack2\data\charts\MSFT\2022-02-04.png,MSFT,2022-02-04,Down,0,36.53,0.0,0.0,-0.0569,-0.8937,train
D:\full-stack2\data\charts\TSLA\2022-02-04.png,TSLA,2022-02-04,Neutral,1,29.74,0.0,0.0,-0.0718,-0.4924,train
D:\full-stack2\data\charts\AMZN\2022-02-04.png,AMZN,2022-02-04,Neutral,1,47.06,0.0,0.0,-0.032,-0.2367,train
D:\full-stack2\data\charts\NVDA\2022-02-04.png,NVDA,2022-02-04,Neutral,1,33.44,0.0,0.0,-0.0278,-0.2572,train
D:\full-stack2\data\charts\META\2022-02-04.png,META,2022-02-04,Down,0,21.33,0.0,0.0,-0.1305,-0.6601,train
D:\full-stack2\data\charts\NFLX\2022-02-04.png,NFLX,2022-02-04,Neutral,1,33.18,0.0,0.0,-0.046,-0.223,train
D:\full-stack2\data\charts\AAPL\2022-02-07.png,AAPL,2022-02-07,Down,0,40.89,0.0,0.0,-0.0428,-0.6669,train
D:\full-stack2\data\charts\GOOGL\2022-02-07.png,GOOGL,2022-02-07,Down,0,49.13,0.0,0.0,-0.0674,-0.8296,train
D:\full-stack2\data\charts\MSFT\2022-02-07.png,MSFT,2022-02-07,Down,0,34.07,0.0,0.0,-0.042,-0.6502,train
D:\full-stack2\data\charts\TSLA\2022-02-07.png,TSLA,2022-02-07,Down,0,28.77,0.0,0.0,-0.0946,-0.6543,train
D:\full-stack2\data\charts\AMZN\2022-02-07.png,AMZN,2022-02-07,Neutral,1,47.33,0.0,0.0,-0.049,-0.363,train
D:\full-stack2\data\charts\NVDA\2022-02-07.png,NVDA,2022-02-07,Down,0,36.06,0.0,0.0,-0.0541,-0.5028,train
D:\full-stack2\data\charts\META\2022-02-07.png,META,2022-02-07,Down,0,19.54,0.0,0.0,-0.1015,-0.51,train
D:\full-stack2\data\charts\NFLX\2022-02-07.png,NFLX,2022-02-07,Neutral,1,32.06,0.0,0.0,-0.0615,-0.2979,train
D:\full-stack2\data\charts\AAPL\2022-02-08.png,AAPL,2022-02-08,Down,0,46.88,-0.6172,0.0,-0.0844,-1.2906,train
D:\full-stack2\data\charts\GOOGL\2022-02-08.png,GOOGL,2022-02-08,Down,0,49.43,0.0527,0.0,-0.0847,-1.0476,train
D:\full-stack2\data\charts\MSFT\2022-02-08.png,MSFT,2022-02-08,Down,0,37.36,-4.3348,0.0,-0.0779,-1.1921,train
